price,rating,5G,NFC,IR_Blaster,Processor_Brand,Core_Count,Clock_Speed_GHz,RAM Size GB,Storage Size GB,battery_capacity,fast_charging_power,Screen_Size,Resolution_Width,Refresh_Rate,Notch_Type,primary_rear_camera_mp,num_rear_cameras,primary_front_camera_mp,num_front_cameras,memory_card_support,memory_card_size,brand
0,0.8928571428571429,0.0,0.0,0.0,0.0,1.0,0.9905660377358491,0.6655518394648828,0.49988278502774086,0.5384615384615384,0.825,0.7971014492753624,0.474025974025974,0.3333333333333333,0.3333333333333333,0.24242424242424243,1.0,0.2413793103448276,0.5,0.0,0.0,0.43859649122807015
1,0.03571428571428571,1.0,1.0,0.0,0.14285714285714285,1.0,0.5660377358490565,0.16387959866220733,0.12479487379854654,0.5384615384615384,0.0,0.7536231884057972,0.2597402597402597,0.0,0.16666666666666666,0.030303030303030304,0.3333333333333333,0.05172413793103448,0.5,0.0,0.0,0.2807017543859649
1,0.7857142857142857,0.0,0.0,1.0,0.2857142857142857,1.0,0.7075471698113207,0.3311036789297659,0.24982417754161132,0.5384615384615384,0.335,0.7608695652173912,0.45454545454545453,0.3333333333333333,0.0,0.31313131313131315,1.0,0.2413793103448276,0.5,0.0,0.0,0.24561403508771928
1,0.7857142857142857,0.0,1.0,1.0,0.0,1.0,0.6132075471698112,0.3311036789297659,0.24982417754161132,0.5692307692307692,0.165,0.7735507246376812,0.45454545454545453,0.3333333333333333,0.0,0.5353535353535354,0.3333333333333333,0.5172413793103449,0.5,0.0,0.1111111111111111,0.24561403508771928
0,0.9285714285714286,0.0,1.0,0.0,0.0,1.0,0.8207547169811319,0.44258639910813824,0.24982417754161132,0.28615384615384615,0.0,0.8695652173913045,0.6493506493506493,0.0,0.3333333333333333,0.24242424242424243,0.0,0.2413793103448276,0.0,0.0,0.0,0.7894736842105263
1,0.6785714285714286,1.0,1.0,0.0,0.42857142857142855,1.0,0.6132075471698112,0.3311036789297659,0.24982417754161132,0.5384615384615384,0.0,0.7572463768115942,0.45454545454545453,0.16666666666666666,1.0,0.24242424242424243,0.0,0.2413793103448276,0.0,0.0,0.0,0.3508771929824561
0,1.0,0.0,0.0,0.0,0.0,1.0,0.8207547169811319,0.44258639910813824,0.49988278502774086,0.38461538461538464,0.105,0.7427536231884058,0.7597402597402597,0.0,0.3333333333333333,0.050505050505050504,0.3333333333333333,0.10344827586206896,0.5,0.0,0.0,0.42105263157894735
1,0.10714285714285714,1.0,1.0,0.0,0.14285714285714285,1.0,0.6132075471698112,0.16387959866220733,0.06228022192701414,0.5384615384615384,0.0,0.7481884057971017,0.2597402597402597,0.0,0.16666666666666666,0.05555555555555555,0.3333333333333333,0.05172413793103448,0.5,0.0,0.1111111111111111,0.24561403508771928
1,0.03571428571428571,1.0,1.0,0.0,0.14285714285714285,1.0,0.660377358490566,0.16387959866220733,0.06228022192701414,0.26153846153846155,0.0,0.6521739130434784,0.45454545454545453,0.0,0.3333333333333333,0.05555555555555555,0.3333333333333333,0.2413793103448276,0.5,0.0,0.0,0.2807017543859649
0,0.9642857142857143,0.0,0.0,0.0,0.0,1.0,0.660377358490566,0.6655518394648828,1.0,0.5076923076923077,0.33,0.7735507246376812,0.45454545454545453,0.3333333333333333,0.0,0.26262626262626265,1.0,0.5172413793103449,0.5,0.0,0.0,0.3157894736842105
